X,Y,Name,description
50.0138665289282,57.4070978387502,"32",
50.0035697073146,57.3972435159675,"31",
50.036402856956,57.4411998466841,"57",
50.0521872194534,57.4287502405764,"101",
50.0001102117133,57.4376136548064,"91",
50.001737050485,57.4255192458164,"51",
50.0348628491287,57.4639030701184,"92",
50.0413490415292,57.4554635762429,"87",
49.9877001968796,57.4501577726574,"78",
50.0098025022176,57.4524193817619,"58",
50.0503102246448,57.3704657990244,"43",
50.0208753109557,57.4799039176289,"59",
49.98975661013,57.3841621537271,"61",
50.0758856410804,57.3834349144766,"44",
50.0546804383032,57.3912777868746,"41",
50.0341067985507,57.4203192988743,"62",
50.0774380903762,57.3946314638975,"63",
50.0619113304043,57.3798166020538,"42",
49.9944012567481,57.4952680127687,"106",
49.9817254562267,57.4828074785973,"88",
49.9865495343648,57.4666296636445,"66",
49.9990334996414,57.4798346765586,"94",
50.1177936848575,57.384615320657,"56",
50.1552812267087,57.3728409539468,"82",
50.0495289031765,57.4104239376155,"33",
50.2009993875113,57.3908751108626,"103",
50.0964223290411,57.3665120906371,"81",
50.144869106495,57.3802793635908,"45",
50.1107635105426,57.3962816818373,"55",
50.1718029337831,57.4024020238749,"85",
50.1622551408174,57.3891187224631,"75",
50.1484723444003,57.407304452475,"84",
50.047591104469,57.4034833594704,"21",
50.1804721179409,57.4336172841198,"102",
50.1051232581271,57.4053486694527,"54",
50.1245904910837,57.4278697133349,"65",
50.1267040299977,57.4164130791959,"73",
50.0893683397762,57.4286546840639,"83",
50.0874598850369,57.4432651530238,"105",
50.0679431681131,57.4594643633469,"93",
50.0960759034611,57.4300321366597,"72",
50.1032387739301,57.4743831236558,"68",
50.1706464705119,57.4512840764637,"104",
50.0824583218799,57.4102499517645,"53",
50.1757400150771,57.4441166133536,"96",
50.1374035078282,57.4500924330582,"86",
50.1367315372106,57.4667276523636,"69",
50.1261337189837,57.4500838615265,"77",
50.0770190106127,57.4722851352029,"67",
50.0723858850784,57.4210593720057,"52",
49.9613890715877,57.3772146791922,"80",
49.9882863149081,57.3767916934174,"60",
50.0211253626335,57.3835057101685,"70",
50.03437956782,57.3948963153452,"0",
50.0344536770748,57.3948740608731,"200",
50.1655846184141,57.4664353007278,"95",
50.146495564246,57.4280757912358,"76",
50.1283542535858,57.4020910548555,"74",
50.0925652385933,57.3795949695951,"64",
50.0637982499848,57.4039720503203,"34",
50.0139171137187,57.4688231651819,"79",
50.0647798043529,57.4356967272996,"71",
